,user,26,27,28,29,30,31,32,33,34,36,38,40,42
0,LV 2 [ㅡ3ㅡ],,3.0,5.0,3.0,,,,,,,,,
1,LV 2 겅부경경경,,,,,,,,,,3.0,5.0,3.0,
2,LV 2 게리!,,,,,,3.0,5.0,3.0,,,,,
3,LV 2 근육질소년,,,,,,,,,3.0,5.0,3.0,,
4,LV 2 눈빛준,,,,3.0,5.0,3.0,,,,,,,
5,LV 2 뉴비_118ba431c91e,,,3.0,5.0,3.0,,,,,,,,
6,LV 2 뉴비_44c128dae246,,,,,,3.0,5.0,3.0,,,,,
7,LV 2 뉴비_4b427d49d53c,,,,,3.0,5.0,3.0,,,,,,
8,LV 2 뉴비_5d5ebe0ff0f9,,,,,3.0,4.0,4.0,,,,,,
9,LV 2 뉴비_6a27e93e8cd7,,,,,3.0,5.0,3.0,,,,,,
10,LV 2 뉴비_6be29ef55298,,,,3.0,5.0,3.0,,,,,,,
11,LV 2 뉴비_71ea350d62f0,,,,3.0,5.0,3.0,,,,,,,
12,LV 2 뉴비_a19279155106,4.0,4.0,,,,,,,,,,,
13,LV 2 뉴비_b8f2c6512c2c,,,3.0,4.0,4.0,,,,,,,,
14,LV 2 뉴비_db1c86960a05,,3.0,5.0,3.0,,,,,,,,,
15,LV 2 미대갈래요,,,3.0,5.0,3.0,,,,,,,,
16,LV 2 빵떡이얌,,,,,,,3.0,5.0,3.0,,,,
17,LV 2 서초동종마,,,,,,,,,3.0,5.0,3.0,,
18,LV 2 약주병,,,,3.0,5.0,3.0,,,,,,,
19,LV 2 잉 기,,,,3.0,5.0,3.0,,,,,,,
20,LV 2 켚켚,,,,3.0,5.0,3.0,,,,,,,
21,LV 3 1등하는그날까,,,,,,3.0,5.0,3.0,,,,,
22,LV 3 1우기,,,,3.0,5.0,3.0,,,,,,,
23,LV 3 7.00,,,,,,,,,3.0,5.0,3.0,,
24,LV 3 Alsodkeucp,,3.0,5.0,3.0,,,,,,,,,
25,LV 3 B26,,,3.0,5.0,3.0,,,,,,,,
26,LV 3 CD: 9300,,,,3.0,5.0,3.0,,,,,,,
27,LV 3 DCTECO,,,,,3.0,5.0,3.0,,,,,,
28,LV 3 EE-SIEG,,,,,3.0,5.0,3.0,,,,,,
29,LV 3 Flerna,5.0,3.0,,,,,,,,,,,
30,LV 3 INLOVEWITHH,,,,,,,3.0,5.0,3.0,,,,
31,LV 3 Jeeth,,,,,,,3.0,5.0,3.0,,,,
32,LV 3 Jhong105,,,3.0,5.0,3.0,,,,,,,,
33,LV 3 JjWwP,,,,3.0,5.0,3.0,,,,,,,
34,LV 3 Kyeong서,,,,,3.0,5.0,3.0,,,,,,
35,LV 3 Libertine,,,,,,3.0,5.0,3.0,,,,,
36,LV 3 NYPDD,,,,,,,,3.0,5.0,3.0,,,
37,LV 3 P.s.1,,,,,,,3.0,5.0,3.0,,,,
38,LV 3 RH.KIM,,,,,3.0,5.0,3.0,,,,,,
39,LV 3 RRR7,,,,,,,,3.0,5.0,3.0,,,
40,LV 3 SCMinnovator,,,,,,,3.0,5.0,3.0,,,,
41,LV 3 Sjinday,,,,,,,3.0,5.0,3.0,,,,
42,LV 3 Syhann179,,3.0,5.0,3.0,,,,,,,,,
43,LV 3 Violaa,,,,3.0,5.0,3.0,,,,,,,
44,LV 3 Zakkkkk,,,,,,,,,3.0,5.0,3.0,,
45,LV 3 ahbvc,,,,3.0,5.0,3.0,,,,,,,
46,LV 3 ambivert,,,,,,3.0,5.0,3.0,,,,,
47,LV 3 eloque,,,,,,,,3.0,5.0,3.0,,,
48,LV 3 fce_jh,,,,3.0,5.0,3.0,,,,,,,
49,LV 3 jumtto,,,3.0,5.0,3.0,,,,,,,,
50,LV 3 makka,,,,3.0,5.0,3.0,,,,,,,
51,LV 3 mariepr,,,3.0,5.0,3.0,,,,,,,,
52,LV 3 namdanvinh,,,,,,3.0,5.0,3.0,,,,,
53,LV 3 psh2610,,,,3.0,5.0,3.0,,,,,,,
54,LV 3 rjtjd,,,,,3.0,5.0,3.0,,,,,,
55,LV 3 y_21.cy6,,,,,,,3.0,5.0,3.0,,,,
56,LV 3 |l|l|l|l|l|l|l|,,,3.0,5.0,3.0,,,,,,,,
57,LV 3 가식적인미소,,,,3.0,5.0,3.0,,,,,,,
58,LV 3 간지나게산다,,,3.0,5.0,3.0,,,,,,,,
59,LV 3 곰망스,,,,,,3.0,5.0,3.0,,,,,
60,LV 3 구구재,,,,,,,3.0,5.0,3.0,,,,
61,LV 3 권혁년,,,,3.0,5.0,3.0,,,,,,,
62,LV 3 그랑이쨍그랑,,,,,3.0,5.0,3.0,,,,,,
63,LV 3 금설탕이,,,,,,,3.0,5.0,3.0,,,,
64,LV 3 기모123띠,,,,,,3.0,5.0,3.0,,,,,
65,LV 3 김두산이,,,,,,3.0,5.0,3.0,,,,,
66,LV 3 김씨아재87,,,,,,,,,3.0,5.0,3.0,,
67,LV 3 김짱우,,,,3.0,5.0,3.0,,,,,,,
68,LV 3 깔롱쟁이~,,,,,,,3.0,5.0,3.0,,,,
69,LV 3 깜씨흑구,,,,,,3.0,5.0,3.0,,,,,
70,LV 3 꽁소원,,,,,,,3.0,5.0,3.0,,,,
71,LV 3 꿀복칩,,,,,,3.0,5.0,3.0,,,,,
72,LV 3 뀨오잉영,,3.0,5.0,3.0,,,,,,,,,
73,LV 3 나는야보겸,,3.0,5.0,3.0,,,,,,,,,
74,LV 3 너란병아리,,,,,,3.0,5.0,3.0,,,,,
75,LV 3 노페피,,,,3.0,5.0,3.0,,,,,,,
76,LV 3 뉴비_00dfc7e3e834,,,,3.0,5.0,3.0,,,,,,,
77,LV 3 뉴비_08ce9be7ce25,,,,,,,3.0,5.0,3.0,,,,
78,LV 3 뉴비_09ad1ca1ab21,,,3.0,5.0,3.0,,,,,,,,
79,LV 3 뉴비_1724aaab7d42,,,,,,,,3.0,4.0,4.0,,,
80,LV 3 뉴비_173d3046,,,,,,,3.0,5.0,3.0,,,,
81,LV 3 뉴비_17956e96bb71,,,,3.0,5.0,3.0,,,,,,,
82,LV 3 뉴비_198f259d478f,,,,,,3.0,5.0,3.0,,,,,
83,LV 3 뉴비_1c43eb209847,,,,,,,,3.0,5.0,3.0,,,
84,LV 3 뉴비_1dfec59e,,,,,,,,3.0,5.0,3.0,,,
85,LV 3 뉴비_1e779da2d20a,,,,,,3.0,5.0,3.0,,,,,
86,LV 3 뉴비_1efe1170210d,,,,3.0,5.0,3.0,,,,,,,
87,LV 3 뉴비_1f59d330,,,,,,3.0,5.0,3.0,,,,,
88,LV 3 뉴비_2219ef9b12df,,,,,,3.0,5.0,3.0,,,,,
89,LV 3 뉴비_23677b8701c3,,,3.0,5.0,3.0,,,,,,,,
90,LV 3 뉴비_23b86d216a33,,,,,,3.0,5.0,3.0,,,,,
91,LV 3 뉴비_2d6de28c,,,,3.0,5.0,3.0,,,,,,,
