gender,height,weight,item,content,size,brightness,color,thickness
남성, 175cm,68kg,에센셜 쿨 코튼 2-PACK 티셔츠,"데일리티, 마실, 잠옷 언제든 부담없이 편하게 입을 수 있는 기본 티",보통이에요,밝아요,선명해요,얇아요
남성, 174cm,68kg,에센셜 쿨 코튼 2-PACK 티셔츠,오버핏으로 나와서 속에 입기도 좋고 시원하게 입기도 좋습니당,커요,보통이에요,보통이에요,얇아요
남성, 180cm,76kg,에센셜 쿨 코튼 2-PACK 티셔츠,하얀색은 조금 비치긴해도 검정색은 안비치고 얇고 시원해서 여름에 입기 좋아요,보통이에요,밝아요,선명해요,얇아요
남성, 168cm,66kg,에센셜 쿨 코튼 2-PACK 티셔츠,티 두쌍 괜춘해요 시원하고 갠덕으론 검정이 더 이쁘네요,보통이에요,보통이에요,보통이에요,보통이에요
여성, 178cm,58kg,에센셜 쿨 코튼 2-PACK 티셔츠,살짝오버핏 스타일로 입기 좋구 편하고 예쁘네요~~,보통이에요,밝아요,선명해요,보통이에요
남성, 184cm,113kg,에센셜 쿨 코튼 2-PACK 티셔츠,ㄹㅇ겁나이쁨요 무조건 사세요 옷도 오버핏으로 개 이쁨 커버낫 잘 입을게,커요,밝아요,선명해요,얇아요
남성, 180cm,70kg,에센셜 쿨 코튼 2-PACK 티셔츠,가성비 티로는 손색 없는데 흰티는 땀났을때 티가 많이 나네여,보통이에요,보통이에요,보통이에요,보통이에요
남성, 171cm,75kg,에센셜 쿨 코튼 2-PACK 티셔츠,오버핏이라 그런지 어깨가 넓어보이고 로고가 이쁘네요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 169cm,58kg,에센셜 쿨 코튼 2-PACK 티셔츠,편하게 입기 딱 좋은 것 같아요:) 또 살 의향 100% 있음,보통이에요,보통이에요,보통이에요,보통이에요
여성, 158cm,53kg,에센셜 쿨 코튼 2-PACK 티셔츠,편하게 입기 너무 좋아요.세일할때 사서 넘  좋구요.커버낫이라 싼티도 안나고 원단도 죠아서 죠아요.강추!!,커요,보통이에요,선명해요,보통이에요
여성, 168cm,52kg,에센셜 쿨 코튼 2-PACK 티셔츠,학원룩의 정석. 여름에 땀 나도 티 전혀 안나고 두께도 적당해서 너무 덥지도 않고 흐물거리지도 않고 좋아영! 기장도 길어서 m 안 사고 S 사도 충분할 것 같아요!,커요,보통이에요,선명해요,보통이에요
남성, 173cm,70kg,에센셜 쿨 코튼 2-PACK 티셔츠,옷 재질도 좋아서 잘 늘어나지 않고 디자인도 튀지않는 무난한 스타일이라 여러 코디에 잘 어울려요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 184cm,62kg,에센셜 쿨 코튼 2-PACK 티셔츠,커버낫 반팔 시원해서 알바할때 잘입고 다닙니다,커요,보통이에요,보통이에요,보통이에요
남성, 178cm,77kg,에센셜 쿨 코튼 2-PACK 티셔츠,이만큼 오래입는 반팔티는 없네요 재질좋고 디자인좋고,보통이에요,보통이에요,보통이에요,보통이에요
남성, 180cm,74kg,에센셜 쿨 코튼 2-PACK 티셔츠,소재가 엄청 시원해요사이즈가  크다는 후기가 있어서 m사이즈 구매했는데길이감도 좋고 잘맞아요~,보통이에요,보통이에요,보통이에요,보통이에요
남성, 171cm,65kg,쿨 코튼 2-PACK 티셔츠 화이트,편하게 입을 수 있다는 점이 장점이에요 추천합니다,보통이에요,보통이에요,보통이에요,보통이에요
남성, 166cm,74kg,에센셜 쿨 코튼 2-PACK 티셔츠,무난히입기 좋아요 가성비 굿굿입니다 추천추천,보통이에요,보통이에요,보통이에요,보통이에요
남성, 181cm,82kg,에센셜 쿨 코튼 2-PACK 티셔츠,전투복으로 편하게입기 좋아요. 착한은가격은 덤,보통이에요,보통이에요,보통이에요,보통이에요
남성, 173cm,66kg,쿨 코튼 2-PACK 티셔츠 화이트,이번 여름에 정말 잘 입고 있습니다!이너로도 단품으로도 정말 입기 좋은 것 같아요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 167cm,64kg,에센셜 쿨 코튼 2-PACK 티셔츠,쿨탠다드보단 약간 도톰하지만 작게 로고 플레이가 좋네요. 사이즈는 아주 약간 큰 느낌이에요,보통이에요,보통이에요,보통이에요,보통이에요
