상품명,구매사이즈,성별,키,몸무게,착용사이즈,착용두께감,리뷰
슬림 크롭 12.5oz 트윌 크림진,32,남성, 173cm, 72kg,보통이에요,보통이에요,엘라 포함되지않았는데 크게 불편하지않고 살빼는 중인데 조금만 빼면 딱 맞을것 같네요.
슬림 크롭 12.5oz 트윌 크림진,28,남성, 167cm, 60kg,보통이에요,보통이에요,"핏이나 색감 두께감 전반적으로 좋습니다
색상은 밖에서 보면 흰색에 가까워요"
슬림 크롭 12.5oz 트윌 크림진,32,남성, 177cm, 75kg,보통이에요,보통이에요,재작년인가부터 깡형 등 유튜버들로 인해 입소문났던 바지라 한번쯤 입어보고 싶단 생각이 들었는데 세일할 때 잘 산거같아요! 아이보리보단 화이트에 가깝고 슬림핏으로 잘 떨어집니다!
슬림 크롭 12.5oz 트윌 크림진,32,,,,보통이에요,보통이에요,핏 좋고 색감 좋고 예쁩니다. 신축성은 거의 없고 원단은 좀 두꺼워요.
슬림 크롭 12.5oz 트윌 크림진,28,,,,보통이에요,두꺼워요,"핏 좋구요
스판덱스가 없어서 좀 빳빳한게 아쉽네여
옷 색감 이쁨 ㅎㅎ"
슬림 크롭 12.5oz 트윌 크림진,30,남성, 173cm, 63kg,보통이에요,보통이에요,크림색보다는 흰색에 가깝습니다. 구매하실 때 참고하세요
슬림 크롭 12.5oz 트윌 크림진,28,남성, 165cm, 55kg,보통이에요,보통이에요,너무 하얗지 않아서 부담스럽지않고 마르신분들도 예쁘게 입을수 있어요
슬림 크롭 12.5oz 트윌 크림진,30,남성, 165cm, 63kg,보통이에요,두꺼워요,"살짝 두꺼운듯한데 여름빼고는 다 입을수 있겠네요. 재질, 색상 다 좋습니다. 잘 입을께요."
슬림 크롭 12.5oz 트윌 크림진,32,남성, 172cm, 67kg,보통이에요,보통이에요,사이즈좋고기장감도수선필요없이딱좋습니다
슬림 크롭 12.5oz 트윌 크림진,28,남성, 174cm, 59kg,보통이에요,보통이에요,"봄 가을에 입기 좋은 두께이고
너무 예뻐서 마음에 듭니다."
슬림 크롭 12.5oz 트윌 크림진,28,남성, 170cm, 69kg,보통이에요,보통이에요,일반 스키니한? 크림진이라고 보시면 될 것 같습니다! 와이드랑 테이퍼드보다 조금 더 타이트하지만 부담스럽지 않은 바지 찾으신다면 이거! 저는 허리가 얇은 편이라 사이즈 확인하셔요
슬림 크롭 12.5oz 트윌 크림진,30,남성, 177cm, 63kg,보통이에요,보통이에요,진짜 이건 크림진이 아니라 화이트진에 가깝지만 너무너무 이뻐요 인생바지입니다 ㅠ
슬림 크롭 12.5oz 트윌 크림진,30,남성, 171cm, 67kg,보통이에요,얇아요,"슬림한 바지입니다
종아리가 쪼여요
색감은 선명하고 여름에 가볍게 압기 좋아요"
