,user,item,buy_size,sex,height,weight,review,size,brightness,color,thickness
0,LV 5 resjde,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],33,남성, 178cm, 74kg,사이즈가 딱이네요 좋습니다 역시 무탠다드네요,보통이에요,보통이에요,보통이에요,보통이에요
1,LV 4 난이대오통,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 180cm, 75kg,무난하고 깔끔한 기본 슬렉스  어디에나 잘 어울려 활용도가 높을 것 같습니다,보통이에요,보통이에요,보통이에요,보통이에요
2,LV 4 난이대오통,테이퍼드 히든 밴딩 크롭 슬랙스 [크림],32,남성, 180cm, 75kg,전체적으로 밝게 입고싶을 때 유용합니다  다만 크림색은 그레이보단 확실히 튀는 감이 있네요,보통이에요,보통이에요,보통이에요,보통이에요
3,LV 4 체리2222,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 172cm, 67kg,무난하고 좋아요 좀 작게 나온 느낌이라 한 치수 크게 사는 게 좋을듯해요,작아요,보통이에요,보통이에요,보통이에요
4,LV 3 뉴비_ffdcafef69bb,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,여성, 172cm, 60kg,바지 너무 편하고 이뻐요 다시 구매한다면 이걸로 재구매 할거에여,보통이에요,어두워요,선명해요,보통이에요
5,LV 5 사학자,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이],36,남성, 178cm, 92kg,두툼하고 색이 밝네요  블레이저도 깔맞춤으로 맞추고 싶습니다 ,보통이에요,밝아요,선명해요,보통이에요
6,LV 5 사학자,테이퍼드 히든 밴딩 크롭 슬랙스 [블루 그레이],36,남성, 178cm, 92kg,여름용보다 두툼해서 봄가을에 입기 좋은 것 같네요 ㅎㅎ 색이 오묘하고 좋아요,보통이에요,밝아요,선명해요,보통이에요
7,LV 4 lossbeb,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,여성, 165cm, 53kg,사이즈 아주 잘맞아요  웨딩사진용으로 샀는데 잘 입을거같아요,보통이에요,보통이에요,보통이에요,보통이에요
8,LV 4 yhdboo,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 180cm, 73kg,슬랙스는 무신사 스탠다드가 최고 같아요 질도 나쁘지 않고 무엇보다 핏이 최고예요,보통이에요,보통이에요,보통이에요,보통이에요
9,LV 5 Green_tea,테이퍼드 히든 밴딩 크롭 슬랙스 [그레이],30,남성, 173cm, 66kg,역시 슬랙스는 무탠다드네요  막 입기 딱 좋습니다 ,보통이에요,보통이에요,선명해요,보통이에요
10,LV 4 최감독이,테이퍼드 히든 밴딩 크롭 슬랙스 [베이지],31,남성, 173cm, 72kg,무난하게 입기 좋아요   흰색 신발이랑 같이 신으면 이쁠 듯,보통이에요,보통이에요,보통이에요,보통이에요
11,LV 5 ㄲㅉㅇ,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 브라운],26,남성, 165cm, 55kg,좋아요 입었을 때 편하고 사이즈도 딱 맞아 손이 잘가요,보통이에요,보통이에요,보통이에요,보통이에요
12,LV 4 뉴비_a5d7c7cf1b48,테이퍼드 히든 밴딩 크롭 슬랙스 [그레이],27,남성, 166cm, 56kg,블레이저랑 함께 입으면 코디하기 좋은 것 같아요  깔끔하게 입기 굿 ,보통이에요,어두워요,보통이에요,보통이에요
13,LV 4 뉴비_a5d7c7cf1b48,테이퍼드 히든 밴딩 크롭 슬랙스 [브라운],27,남성, 166cm, 56kg,가을에 깔끔하게 입기 좋아요  약간 기장이 길어서 수선하면 더 좋을 것 같네요 ,보통이에요,보통이에요,선명해요,보통이에요
14,LV 4 도미노ㅂ,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],31,남성, 168cm, 63kg,사이즈 작게 나왔다고 해서 원래 30입는 거 31로 샀는데 30사도 될 거 같네요,보통이에요,밝아요,선명해요,보통이에요
15,LV 4 Premierleague,테이퍼드 히든 밴딩 크롭 슬랙스 [크림],32,남성, 181cm, 69kg,네이비 셔츠랑 같이 입었더니 찰떡이네요    의심하지 않았다 무탠  ,보통이에요,보통이에요,보통이에요,보통이에요
16,LV 3 뉴비_9f552dec,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],27,남성, 169cm, 56kg,시이즈도 적당하고 이쁘게 입을수 있을거 같습니다,보통이에요,보통이에요,보통이에요,보통이에요
17,LV 3 딱딱한 성현,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],34,남성, 186cm, 88kg,바지가 이쁘네요 자주 입을듯 합니다 가격도 넘 좋네요,보통이에요,보통이에요,보통이에요,보통이에요
18,LV 3 뉴비_b55b5fdc,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 183cm, 76kg,슬림핏 바지로 핏 너무 좋아요 교복마냥 입고 다닐 듯,보통이에요,보통이에요,보통이에요,보통이에요
19,LV 3 뉴비_d0be4dc1,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 176cm, 75kg,오랜만에 슬랙스 구매했는데 가성비 좋습니다 여름에는 많이 더울것 같아요,보통이에요,어두워요,보통이에요,보통이에요
20,LV 5 성대경제,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],31,남성, 173cm, 68kg,허리 넉넉하게 입으려고 31사는데 보통 31사면 허리도 여유있는데 이거는 테이퍼드인데도 허벅지가 슬림해요그거랑 별개로 원단감 좋고 싼티 안나는거는 좋아요,작아요,보통이에요,보통이에요,보통이에요
21,LV 5 뉴비_d62cec4a,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,여성, 173cm, 65kg,무신사 블레이저랑 셋업으로 입었습니다  가성비는 역시 무탠다드 못 이기네요 ,보통이에요,보통이에요,선명해요,보통이에요
22,LV 5 르닝98,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],28,남성, 173cm, 47kg,쌉멸치스펙 기준에도 통 쌉좁읍니다 얇고 쫙쫙 늘어나고 좋읍니다,작아요,보통이에요,선명해요,얇아요
23,LV 5 .Allday,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],31,남성, 177cm, 68kg,제품 상태 무난히 좋습니다  잘 활용해서 입어볼께요  ,보통이에요,보통이에요,보통이에요,보통이에요
24,LV 5 .Allday,테이퍼드 히든 밴딩 크롭 슬랙스 [베이지],30,남성, 177cm, 68kg,제품 상태 무난히 좋습니다  잘 활용해서 입어볼께요  ,작아요,보통이에요,보통이에요,보통이에요
25,LV 5 .Allday,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 177cm, 68kg,제품 상태 무난히 좋습니다  잘 활용해서 입어볼께요  ,보통이에요,보통이에요,보통이에요,보통이에요
26,LV 5 .Allday,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이],31,남성, 177cm, 68kg,제품 상태 무난히 좋습니다  잘 활용해서 입어볼께요  ,보통이에요,보통이에요,보통이에요,보통이에요
27,LV 3 뀨오잉영,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],28,여성, 165cm, 50kg,사이즈가 슬림하게 떨어집니다 기장 수선 안해도 되서 좋네요 가을에 입기 좋은 것 같습니다 ,보통이에요,보통이에요,보통이에요,보통이에요
28,LV 3 뉴비_7ad2a5de2c0a,테이퍼드 히든 밴딩 크롭 슬랙스 [크림],33,남성, 178cm, 70kg,생각보다 밝고 기장이 적당해서 입기 편하고 밝은 느낌을 줄 수 있습니다 ,보통이에요,밝아요,선명해요,보통이에요
29,LV 5 DLDLDLDLDLDLDLD,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],34,남성, 179cm, 71kg,컬러두 이쁘고 기장도 적당해요 허벅지 크신분들은 허리수선하세용,보통이에요,보통이에요,보통이에요,보통이에요
30,LV 5 qkreodl,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,남성, 170cm, 68kg,기본 슬랙스라서 어디에도 코디하기 편해요신축성있어서 좋습니다,보통이에요,보통이에요,선명해요,보통이에요
31,LV 3 dobbya,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],29,남성, 171cm, 66kg,한사이즈 업 할걸 그랬어요 허벅지부분이 좀 작네요 마른체형분들한테 어울릴거같아요 저한테는 약간 타이트해요 클래식한 느낌으로 입어야될거같아요 기장은 적당해요 ,작아요,보통이에요,선명해요,보통이에요
32,LV 4 뉴비_5de1342,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],31,남성, 175cm, 73kg,바지 정말 이쁘고 맘에드네요 색깔 별로 사고있어요,보통이에요,보통이에요,보통이에요,보통이에요
33,LV 3 뉴비_e549ea64,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 178cm, 76kg,아주 기본으로 핏도 괜찮고  나름 신경써야하는 자리에 좋습니다 ,보통이에요,보통이에요,보통이에요,보통이에요
34,LV 4 약쟁아,테이퍼드 히든 밴딩 크롭 슬랙스 [그레이],32,남성, 176cm, 70kg,배송 빠르고 한사이즈 업하는게 잘맞는거 같아요 ,보통이에요,보통이에요,보통이에요,보통이에요
35,LV 4 김여비,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,남성, 178cm, 69kg,슬랙스가 필요해서 주문을 했는데  기본중에 기본입니다  두께감은 좀 있네욤 ,보통이에요,보통이에요,보통이에요,보통이에요
36,LV 3 뉴비_17f44a7d,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],33,남성, 180cm, 78kg,너무너무 예쁩니다 색감도 예쁘고 찰떡이에요 요즘 입기에 딱입니다,보통이에요,보통이에요,보통이에요,보통이에요
37,LV 2 뉴비_95f88e16,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],34,남성, 177cm, 85kg,밑단 수정할필요없이 입어도 핏이딱입니다 추천드려요  ,보통이에요,보통이에요,보통이에요,보통이에요
38,LV 3 유니유니유니유니윤,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],33,남성, 174cm, 72kg,제품편하고 좋습니다 만족합니다  하지만 한사이즈 업 추천합니다,작아요,보통이에요,보통이에요,두꺼워요
39,LV 3 BumGrum,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 184cm, 90kg,좋습니다 너무예쁘고 클래식해서 쓰기좋아요 추천,보통이에요,보통이에요,보통이에요,보통이에요
40,LV 3 뉴비_dbd939ba,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 176cm, 70kg,사이즈도 그렇고 제가 원하던 스타일이라서 좋은거같아요기본템은 무탠다드가 답인거같ㄴㅔ요,보통이에요,보통이에요,보통이에요,보통이에요
41,LV 3 푸키막,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],33,남성, 177cm, 68kg,기장이랑 밑단 수선없이 그대로 입어도 되네요허리만 약간 큽니다,보통이에요,보통이에요,보통이에요,보통이에요
42,LV 5 Euihyun,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이],33,남성, 180cm, 71kg,너무 만족합니다 그레이 색상 원하시면 추천드려요 ,보통이에요,밝아요,선명해요,보통이에요
43,LV 3 김짱우,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,남성, 168cm, 67kg,입었을 때 편하고 핏도 예뻐서 가성비 아주 좋아요 ,보통이에요,보통이에요,보통이에요,보통이에요
44,LV 3 뉴비스트777,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],34,남성, 174cm, 65kg,착용감과 재질이 좋고  핏이 사는 느낌이 좋습니다  ,보통이에요,보통이에요,보통이에요,보통이에요
45,LV 6 승로찡,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 177cm, 64kg,살쪄서 하나 더 큰 치수 샀어요  무난하고 좋아요 완전,보통이에요,보통이에요,보통이에요,보통이에요
46,LV 3 뉴비_425e99eede64,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],27,남성, 165cm, 48kg,165 48키로 핏입니다 싸이즈가 굉장히 작게 나온거같아요 싸이즈교환하려했는데그래도 아들이 맘에든다고 그냥입기로했습니다 가격도 저렴히 잘산거같아요 ,작아요,보통이에요,보통이에요,보통이에요
47,LV 5 우주최강끼끼,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],34,남성, 175cm, 70kg,바지 핏이 대박이에요 진짜 무탠다드 박박 짜아아앙,보통이에요,보통이에요,보통이에요,보통이에요
48,LV 5 우주최강끼끼,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],34,남성, 175cm, 70kg,바지 핏이 대박이에요 진짜 무탠다드 박박 짜아아앙,보통이에요,보통이에요,보통이에요,보통이에요
49,LV 6 hgh1,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 177cm, 75kg,무난하게 입고다니기 좋아여전에샀던게 많이 헤져서 똑같은거 또샀어요,보통이에요,보통이에요,보통이에요,보통이에요
50,LV 4 최감독이,테이퍼드 히든 밴딩 크롭 슬랙스 [베이지],31,남성, 173cm, 72kg,무난하게 입기 좋아요   흰색 신발이랑 같이 신으면 이쁠 듯,보통이에요,보통이에요,보통이에요,보통이에요
51,LV 5 ㄲㅉㅇ,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 브라운],26,남성, 165cm, 55kg,좋아요 입었을 때 편하고 사이즈도 딱 맞아 손이 잘가요,보통이에요,보통이에요,보통이에요,보통이에요
