,user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval
0,LV 3 뉴비_f68324b5,남성, 174cm, 73kg,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],31,5,원래 핏하게 입는데요 31사이즈 딱 좋습니다 예뻐요!,보통이에요,보통이에요,보통이에요,보통이에요
1,LV 3 sup1234,남성, 168cm, 67kg,테이퍼드 히든 밴딩 크롭 슬랙스 [다크 그레이],32,5,기본 테이퍼드 슬랙스로 적합합니다. 기본 바지 없으신 분들께 추천드려요!,보통이에요,보통이에요,보통이에요,보통이에요
2,LV 3 sup1234,남성, 168cm, 67kg,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,5,기본 테이퍼드 슬랙스로 적합합니다. 기본 바지 없으신 분들께 추천드려요!,보통이에요,보통이에요,보통이에요,보통이에요
3,LV 3 sup1234,남성, 168cm, 67kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,5,기본 테이퍼드 슬랙스로 적합합니다. 기본 바지 없으신 분들께 추천드려요!,보통이에요,보통이에요,보통이에요,보통이에요
4,LV 5 취월,남성, 178cm, 87kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],38,3,허리가 사이즈 너무 크게 나오긴하는데.. 가성비는 좋습니다.,커요,보통이에요,보통이에요,보통이에요
5,LV 3 뉴비_1c43eb209847,남성, 174cm, 84kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],34,5,아주 무난한 정장바지입니다. 핏도좋고 허리 맞추기도 좋음,보통이에요,어두워요,보통이에요,보통이에요
6,LV 6 데스티닝,남성, 164cm, 58kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,5,항상 재구매하는 아이템입니다 핏 좋아서 만족합니다,보통이에요,보통이에요,보통이에요,보통이에요
7,LV 6 데스티닝,남성, 164cm, 58kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,5,항상 재구매하는 아이템입니다 핏 좋아서 만족합니다,보통이에요,보통이에요,보통이에요,보통이에요
8,LV 3 dbvip,남성, 160cm, 60kg,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],29,5,29면 이정도 핏 나옵니다. 기본템은 역시 무탠다드인 것 같습니다!,보통이에요,보통이에요,보통이에요,보통이에요
9,LV 4 뉴비_d804fb57,남성, 180cm, 80kg,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],34,5,재질좋고 가성비 좋고 스타일 내기 좋습니다 감사합니다 ㅎㅎ,보통이에요,보통이에요,보통이에요,보통이에요
10,LV 3 놀부씨,남성, 172cm, 55kg,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],30,5,슬랙스가 좋다고 들어서 구입했는데 듣던대로 맘에 드는 바지입니다~,커요,보통이에요,보통이에요,보통이에요
11,LV 3 놀부씨,남성, 172cm, 55kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,5,무신사 스탠다드 슬랙스는 정말 가성비 최고입니다!,커요,보통이에요,보통이에요,보통이에요
12,LV 3 르버,남성, 174cm, 63kg,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],30,5,테이퍼드 핏으로 딱 제가 원하는 핏이 나왔고 무난하게입는 슬렉스러 좋은 것 같아요,보통이에요,밝아요,보통이에요,얇아요
13,LV 4 뉴비_11ba01a4,남성, 183cm, 84kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],36,5,역시 슬랙스 장인 무신사 스탠다드! 모든게 완벽하다,보통이에요,보통이에요,보통이에요,보통이에요
14,LV 5 옷사러달려,남성, 177cm, 78kg,테이퍼드 히든 밴딩 크롭 슬랙스 [핑크 베이지],36,4,색감이랑 사이즈랑 딱맞는거같음요이러나저러나 괜츈,보통이에요,보통이에요,보통이에요,보통이에요
15,LV 5 개이터,여성, 189cm, 74kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,5,지인에게 선물했는데 아주 맘에든다고하네용체형에서 키는 176에 배는 조금 나왓는데 전체적으로 날씬한편에요길이감도 딱 떨어지고 이쁩니다!!,보통이에요,어두워요,선명해요,보통이에요
16,LV 5 시듀엣,남성, 178cm, 70kg,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],32,5,무난해서 손이 자주가는 바지입니다. 너무 좋아요.,보통이에요,어두워요,선명해요,보통이에요
17,LV 4 yang2in0,남성, 175cm, 55kg,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],31,5,아버지 사드럈는데 가성비 좋게 잘 입고다니셔서 제 기분이 다 젛네요,보통이에요,보통이에요,보통이에요,보통이에요
18,LV 5 사요사요옷사용,남성, 177cm, 73kg,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,5,만족합니다 싸게잘삿습니다 베이지 슬랙스이뻐요 추천합니다.,보통이에요,보통이에요,보통이에요,보통이에요
19,LV 5 사요사요옷사용,남성, 177cm, 73kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,5,만족합니다 싸게잘삿습니다 이뻐요 추천합니다.,보통이에요,보통이에요,보통이에요,보통이에요
20,LV 4 kky9507,남성, 183cm, 86kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],34,5,막입기에도 편하고 재질도 아주아주 편합니다   요거랑 세미와이드랑  돌아가면서 입습니다 ,보통이에요,보통이에요,보통이에요,보통이에요
21,LV 4 언제나잘하자,남성, 173cm, 63kg,테이퍼드 히든 밴딩 크롭 슬랙스 [핑크 베이지],31,5,옷 너무 이쁘고원단도 탄탄하고 좋습니다보풀에 강합니다,보통이에요,보통이에요,보통이에요,보통이에요
22,LV 6 폴츄,남성, 183cm, 95kg,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],38,5,허리 커서 벨트했어여 기장 너무 짧아 한단내렸어요,커요,보통이에요,보통이에요,보통이에요
23,LV 5 동전걸,남성, 175cm, 65kg,테이퍼드 히든 밴딩 크롭 슬랙스 [크림],31,5,역시 무탠다드 실패하지 않네요핏도 좋고 색상도 딱 생각한 대로,보통이에요,보통이에요,보통이에요,보통이에요
