,user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval
0,LV 3 네이마루96,남성, 170cm, 74kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,5,허리 허벅지 사이즈 잘 맞고 밑단은 저 한테 조듬 길어서 한 단 수선했어요.핏 너무 이쁘고 다른색상도 구매해야 겠어요옷 너무 좋아요!!!,보통이에요,보통이에요,선명해요,보통이에요
1,LV 4 허니머스타뜨,남성, 180cm, 71kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,5,하학하핳타핫투학핫튁학하하핫두두둥둥긱니릿,보통이에요,보통이에요,보통이에요,보통이에요
2,LV 3 뉴비_89167f4d,남성, 176cm, 76kg,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],32,5,셋업으로 입기 나이스 하네요 기장도 마음에 듭니다,보통이에요,보통이에요,보통이에요,보통이에요
3,LV 3 뉴비_2ca4ec16,남성, 179cm, 80kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,5,핏도 좋고 이쁩니다 블랙이라 다양한 코디에 입을수 있을 듯요 잘입을게요,보통이에요,보통이에요,보통이에요,보통이에요
4,LV 3 뉴비_2ca4ec16,남성, 179cm, 80kg,테이퍼드 히든 밴딩 크롭 슬랙스 [딥 블루],32,5,마음에 들고 핏도 이쁘고 딱 좋습니다 자주 입을 것 같습니다,보통이에요,보통이에요,보통이에요,보통이에요
5,LV 5 김지성0328,남성, 178cm, 74kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],33,5,댄디한 스타일에 잘 어울리는 핏입니다 역시 무탠다드입니다,보통이에요,보통이에요,보통이에요,보통이에요
6,LV 3 ahbvc,남성, 177cm, 67kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,5,옷이 정말 편한데 핏도 이쁘게 잘 나온거 같아서 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
7,LV 3 짱구먀,여성, 168cm, 51kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],28,4,핏도 예쁘고 못생긴 다리를 예쁘게 바꿔주는 마법이라고 할까요?,보통이에요,보통이에요,선명해요,보통이에요
8,LV 6 ricolas,남성, 167cm, 58kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],28,5,한사이즈 업 해서 사세요 그래야 맞아요 생각보다 타이트 합니다,작아요,보통이에요,보통이에요,보통이에요
9,LV 6 ricolas,남성, 167cm, 58kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,5,두사이즈 나 한사이즈 업 해야 맞음 허벅지가 그래서 허리를 줄임,작아요,보통이에요,보통이에요,보통이에요
10,LV 3 늅뉴빔,남성, 174cm, 73kg,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,5,기본으로 딱 좋아요이가격에 이정도 품질 좋습니다,보통이에요,보통이에요,보통이에요,보통이에요
11,LV 4 꿈을향해가즈아,남성, 177cm, 67kg,테이퍼드 히든 밴딩 크롭 슬랙스 [화이트],30,5,동일 제품 다른색깔도 있는데 다른것보다는 사이즈가 약간 작은것 같네요. 핏이나 나머지는 다 만족해요~,보통이에요,보통이에요,보통이에요,보통이에요
12,LV 3 Woo S,남성, 183cm, 80kg,테이퍼드 히든 밴딩 크롭 슬랙스 [네이비],34,5,핏감이 맘에 듭니다 색깔도 잘 나왔고 조습니다아,보통이에요,보통이에요,선명해요,두꺼워요
13,LV 4 오잉봉,남성, 175cm, 72kg,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],32,5,배송빠르고 길이만 수선하면 딱 좋아요 다른색상도 구매하고 싶네요,보통이에요,보통이에요,보통이에요,보통이에요
14,LV 6 수태쟈,남성, 165cm, 65kg,테이퍼드 히든 밴딩 크롭 슬랙스 [네이비],31,5,옷이 사이즈가 딱좋고 아주 무난해서 뭘입어도 잘어울려요,보통이에요,보통이에요,보통이에요,보통이에요
15,LV 6 수태쟈,남성, 165cm, 65kg,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],32,5,옷이 사이즈가 딱좋고 아주 무난해서 뭘입어도 잘어울려요,보통이에요,보통이에요,보통이에요,보통이에요
16,LV 6 수태쟈,남성, 165cm, 65kg,테이퍼드 히든 밴딩 크롭 슬랙스 [네이비],32,5,옷이 사이즈가 딱좋고 아주 무난해서 뭘입어도 잘어울려요,보통이에요,보통이에요,보통이에요,보통이에요
17,LV 3 뉴비_d862bcbe8377,남성, 170cm, 70kg,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,5,생각한거보다 색이 좀 어둡네요 이 바지는 작게 나와서 한사이즈 업해서 주문 해야 편하게 입을거 같아요,보통이에요,어두워요,보통이에요,보통이에요
18,LV 5 letmeloveyou,남성, 174cm, 74kg,테이퍼드 히든 밴딩 크롭 슬랙스 [다크 그레이],32,5,"무탠다드는 믿고살만하군요차콜을 시작으로 블랙,네이비 구매하고있네요밑위가 조금 쬐긴하지만핏감,스타일링하기 편하고 좋습니다",보통이에요,보통이에요,선명해요,보통이에요
19,LV 3 발데르하임,남성, 183cm, 81kg,테이퍼드 히든 밴딩 크롭 슬랙스 [베이지],34,5,"테이퍼드 검정색을 사고 제 몸에 딱 맞는 핏감에 만족하여 베이지도 추가 구매하였습니다. 한 달여 사이에 할인이 끝나 금액이 좀 더 늘어나서 샀는데 그래도 그만한 값어치를 하는 바지입니다. 허리 밴딩으로 아주 편하고 여유롭고, 바지 자체 원단의 쫀쫀함이 몸을 편하게 움직이게 해줍니다. 베이지는 인터넷 이미지보다 선명하고 밝고 깨끗한 느낌이라 위에 짙은색 상의를 바쳐 입기 아주 좋습니다. 사이즈만 잘 맞추어 놓는다면 오프라인 샾을 전전하며 무한 갈아입기를 하지 않아 좋습니다.",보통이에요,밝아요,선명해요,보통이에요
20,LV 3 뉴비_d1511f32f810,남성, 172cm, 70kg,테이퍼드 히든 밴딩 크롭 슬랙스 [크림],31,5,색상도 이쁘고잘 입을 거 같아요블랙 사서 하나 더 사봤어요,보통이에요,보통이에요,보통이에요,보통이에요
