,user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval
0,LV 4 Inho_,남성, 183cm, 72kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],XL,5,무탠다스 배이직 티는 뭐 말이 필요없죠 이거보다 가성비 좋은건 못 찾겠어요 ,보통이에요,보통이에요,보통이에요,보통이에요
1,LV 5 진눈ㄴ,남성, 180cm, 68kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],L,5,사이즈 적당하고 괜찮은 옷입니다 추천드립니다,보통이에요,보통이에요,보통이에요,보통이에요
2,LV 6 휘뚜루마뚤루,여성, 168cm, 55kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],M,5,이너티로 아주 잘 입고 있는중임 사이즈는 작게 하는게 좋음 크게 나옴 목 짱짱해서 좋음ㅑ,보통이에요,보통이에요,보통이에요,보통이에요
3,LV 5 무시79,남성, 179cm, 90kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],XL,5,너무 좋아요저렴하게 잘 구입 했어요다음에도 구입 할게요,보통이에요,밝아요,보통이에요,보통이에요
4,LV 5 안자노,남성, 177cm, 72kg,릴렉스 핏 크루 넥 반팔 티셔츠 [건메탈],L,4,질도좋고 여름에시원하게잘입었어요이쁘네요,보통이에요,보통이에요,보통이에요,보통이에요
5,LV 7 플래_7a36abe5f93,남성, 123cm, 123kg,릴렉스 핏 크루 넥 반팔 티셔츠 [오렌지],L,5,레이어드용으로 구매했는데 질도 좋고 색도 예쁘네요,보통이에요,보통이에요,보통이에요,보통이에요
6,LV 3 황금신발,남성, 170cm, 70kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],M,4,늦은감이 없지않아 있지만 잘입고다니고있어요 핏도좋고 이쁘네요,보통이에요,보통이에요,보통이에요,보통이에요
7,LV 3 iam100c,남성, 179cm, 67kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],M,5,어디에 입어도 잘 어울리는 믿고 사는 무탠다드예요,보통이에요,보통이에요,보통이에요,보통이에요
8,LV 4 멤버_4f1b7613571b,남성, 168cm, 55kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],S,5,넣입하기도 좋고 빼서입어도 핏 널넣해서 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
9,LV 4 starry카,남성, 183cm, 78kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],L,5,핏이 진찌 최고입니다 가성비로 구매하기 좋아요,보통이에요,밝아요,선명해요,보통이에요
10,LV 5 장규진1,남성, 181cm, 64kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],XL,5,가성비로 너무 좋습니다. 맨날 애용할거같습니다,보통이에요,밝아요,보통이에요,보통이에요
11,LV 5 장규진1,남성, 181cm, 64kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],XL,5,가성비로 너무 좋습니다. 맨날 애용할거같습니다,보통이에요,보통이에요,보통이에요,보통이에요
12,LV 5 귀여운치프,남성, 177cm, 70kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],XL,5,가성비 최고의 반팔티 사이즈 잘 맞아요 177 70,보통이에요,보통이에요,보통이에요,보통이에요
13,LV 3 Efffort,남성, 180cm, 85kg,릴렉스 핏 크루 넥 반팔 티셔츠 [그레이쉬 블루],XL,5,적당한 두께감과 색상도 고급스러워서 마음에들어요,보통이에요,보통이에요,보통이에요,보통이에요
14,LV 3 뉴비_f90ef46b2cbc,남성, 165cm, 60kg,릴렉스 핏 크루 넥 반팔 티셔츠 [라벤더],S,4,약간 널널하게 입었습니다. 편하고 무난해서 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
15,LV 3 Haael,남성, 168cm, 58kg,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],S,5,딱 평범한 무지티입니다~ 두께는 그렇게 두껍지는 않아서 살짝 비치네요,보통이에요,보통이에요,보통이에요,보통이에요
16,LV 3 Haael,남성, 168cm, 58kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],S,5,딱히 더 설명이 필요없는 평범한 검정무지티입니다살짝 루즈하게 잘 맞아요,보통이에요,보통이에요,보통이에요,보통이에요
17,LV 5 conve,남성, 177cm, 78kg,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],L,5,기본 반팔티 찾으시면 비싼거 사지말고 무탠다드 사시면 될거 같아요. 옷은 조금 크게 나와요 !,보통이에요,보통이에요,선명해요,보통이에요
