user,26,27,28,29,30,31,32,33,34,36,38,40
LV 2 [ㅡ3ㅡ],,,0.0,,,,,,,,,
LV 2 겅부경경경,,,,,,,,,,,0.0,
LV 2 게리!,,,,,,,0.0,,,,,
LV 2 근육질소년,,,,,,,,,-1.0,,,
LV 2 눈빛준,,,,-1.0,,,,,,,,
LV 2 뉴비_118ba431c91e,,,,0.0,,,,,,,,
LV 2 뉴비_44c128dae246,,,,,,,0.0,,,,,
LV 2 뉴비_4b427d49d53c,,,,,,0.0,,,,,,
LV 2 뉴비_5d5ebe0ff0f9,,,,,,,1.0,,,,,
LV 2 뉴비_6a27e93e8cd7,,,,,,0.0,,,,,,
LV 2 뉴비_6be29ef55298,,,,,0.0,,,,,,,
LV 2 뉴비_71ea350d62f0,,,,,0.0,,,,,,,
LV 2 뉴비_a19279155106,,1.0,,,,,,,,,,
LV 2 뉴비_b8f2c6512c2c,,,,,1.0,,,,,,,
LV 2 뉴비_db1c86960a05,,,0.0,,,,,,,,,
LV 2 미대갈래요,,,-1.0,,,,,,,,,
LV 2 빵떡이얌,,,,,,,,0.0,,,,
LV 2 서초동종마,,,,,,,,,,0.0,,
LV 2 약주병,,,,,0.0,,,,,,,
LV 2 잉 기,,,,,0.0,,,,,,,
LV 2 켚켚,,,,,0.0,,,,,,,
LV 3 1등하는그날까,,,,,,,0.0,,,,,
LV 3 1우기,,,,,0.0,,,,,,,
LV 3 7.00,,,,,,,,,,0.0,,
LV 3 Alsodkeucp,,,0.0,,,,,,,,,
LV 3 B26,,,-1.0,,,,,,,,,
LV 3 CD: 9300,,,,-1.0,,,,,,,,
LV 3 DCTECO,,,,,,0.0,,,,,,
LV 3 EE-SIEG,,,,,,0.0,,,,,,
LV 3 Flerna,0.0,,,,,,,,,,,
LV 3 INLOVEWITHH,,,,,,,,0.0,,,,
LV 3 Jeeth,,,,,,,,0.0,,,,
LV 3 Jhong105,,,,0.0,,,,,,,,
LV 3 JjWwP,,,,,0.0,,,,,,,
LV 3 Kyeong서,,,,,,0.0,,,,,,
LV 3 Libertine,,,,,,,0.0,,,,,
LV 3 NYPDD,,,,,,,,,0.0,,,
LV 3 P.s.1,,,,,,,,0.0,,,,
LV 3 RH.KIM,,,,,,0.0,,,,,,
LV 3 RRR7,,,,,,,,,0.0,,,
LV 3 SCMinnovator,,,,,,,,0.0,,,,
LV 3 Sjinday,,,,,,,,0.0,,,,
LV 3 Syhann179,,,0.0,,,,,,,,,
LV 3 Violaa,,,,,0.0,,,,,,,
LV 3 Zakkkkk,,,,,,,,,,0.0,,
LV 3 ahbvc,,,,,0.0,,,,,,,
LV 3 ambivert,,,,,,,0.0,,,,,
LV 3 eloque,,,,,,,,,0.0,,,
LV 3 fce_jh,,,,,0.0,,,,,,,
LV 3 jumtto,,,,0.0,,,,,,,,
LV 3 makka,,,,,0.0,,,,,,,
LV 3 mariepr,,,,0.0,,,,,,,,
LV 3 namdanvinh,,,,,,,0.0,,,,,
LV 3 psh2610,,,,,0.0,,,,,,,
LV 3 rjtjd,,,,,,0.0,,,,,,
LV 3 y_21.cy6,,,,,,,,0.0,,,,
LV 3 |l|l|l|l|l|l|l|,,,,0.0,,,,,,,,
LV 3 가식적인미소,,,,,0.0,,,,,,,
LV 3 간지나게산다,,,,0.0,,,,,,,,
LV 3 곰망스,,,,,,,0.0,,,,,
LV 3 구구재,,,,,,,,0.0,,,,
LV 3 권혁년,,,,,0.0,,,,,,,
LV 3 그랑이쨍그랑,,,,,,0.0,,,,,,
LV 3 금설탕이,,,,,,,,0.0,,,,
LV 3 기모123띠,,,,,,,0.0,,,,,
LV 3 김두산이,,,,,,,0.0,,,,,
LV 3 김씨아재87,,,,,,,,,,0.0,,
LV 3 김짱우,,,,,0.0,,,,,,,
LV 3 깔롱쟁이~,,,,,,,,0.0,,,,
LV 3 깜씨흑구,,,,,,,0.0,0.0,,,,
LV 3 꽁소원,,,,,,,,0.0,,,,
LV 3 꿀복칩,,,,,,,0.0,,,,,
LV 3 뀨오잉영,,,0.0,,,,,,,,,
LV 3 나는야보겸,,,0.0,,,,,,,,,
LV 3 너란병아리,,,,,,,0.0,,,,,
LV 3 노페피,,,,,0.0,,,,,,,
LV 3 뉴비_00dfc7e3e834,,,,,0.0,,,,,,,
LV 3 뉴비_08ce9be7ce25,,,,,,,,0.0,,,,
LV 3 뉴비_09ad1ca1ab21,,,,0.0,,,,,,,,
LV 3 뉴비_1724aaab7d42,,,,,,,,,,1.0,,
LV 3 뉴비_173d3046,,,,,,,-1.0,,,,,
LV 3 뉴비_17956e96bb71,,,,,0.0,,,,,,,
LV 3 뉴비_198f259d478f,,,,,,-1.0,,,,,,
LV 3 뉴비_1c43eb209847,,,,,,,,,0.0,,,
LV 3 뉴비_1dfec59e,,,,,,,,,0.0,,,
LV 3 뉴비_1e779da2d20a,,,,,,,0.0,,,,,
LV 3 뉴비_1efe1170210d,,,,,0.0,,,,,,,
LV 3 뉴비_1f59d330,,,,,,,0.0,,,,,
LV 3 뉴비_2219ef9b12df,,,,,,,0.0,,,,,
LV 3 뉴비_23677b8701c3,,,,0.0,,,,,,,,
LV 3 뉴비_23b86d216a33,,,,,,,0.0,,,,,
LV 3 뉴비_2d6de28c,,,,,0.0,,,,,,,
LV 3 뉴비_38c0b2cb,,,,,,,,,0.0,,,
LV 3 뉴비_39005e1131e0,,,0.0,,,,,,,,,
LV 3 뉴비_3dbd9771,,,,,,,0.0,,,,,
LV 3 뉴비_425e99eede64,,-1.0,,,,,,,,,,
LV 3 뉴비_42d19de8b1d5,,,,0.0,,,,,,,,
LV 3 뉴비_43ec177a,,,,,,0.0,,,,,,
LV 3 뉴비_45811651,,,,,,,,,,0.0,,
LV 3 뉴비_49d04aea,,,,,0.0,,,,,,,
LV 3 뉴비_4bf1fdab2e04,,,,,0.0,,,,,,,
LV 3 뉴비_52d30843,,,,,,0.0,,,,,,
LV 3 뉴비_541f91c41bdf,,0.0,,,,,,,,,,
LV 3 뉴비_54e289df0e3e,,,,0.0,,,,,,,,
LV 3 뉴비_624c5d48,,,,0.0,,,,,,,,
LV 3 뉴비_6dfcc3949248,,,,,,0.0,,,,,,
LV 3 뉴비_6f7aa08a,,,,,,0.0,,,,,,
LV 3 뉴비_75692ab604f1,,,,,0.0,,,,,,,
LV 3 뉴비_75a85e447f09,,,,,0.0,,,,,,,
LV 3 뉴비_75a8b075,,,,,,,0.0,,,,,
LV 3 뉴비_791ae8be,,,,,,,0.0,,,,,
LV 3 뉴비_7ad2a5de2c0a,,,,,,,,0.0,,,,
LV 3 뉴비_7ed1773c,,,,,0.0,,,,,,,
LV 3 뉴비_812fd411,,,,,,,0.0,,,,,
LV 3 뉴비_836c4a8120c0,,,,0.0,0.0,,,,,,,
LV 3 뉴비_836c6fcf2a3b,,,,0.0,,,,,,,,
LV 3 뉴비_8700660c,,,,,0.0,,,,,,,
LV 3 뉴비_87f979ccbff9,,,,,,,,0.0,,,,
LV 3 뉴비_8982a073e999,,,,,,,0.0,,,,,
LV 3 뉴비_8d39d0ced10b,,,,,,,0.0,,,,,
LV 3 뉴비_8e536b26,,0.0,,,,,,,,,,
LV 3 뉴비_913cca0269d0,,,,,,,,0.0,,,,
LV 3 뉴비_93e268dba69e,,,,,,,0.0,,,,,
LV 3 뉴비_967380255ea2,,,,,,0.0,,,,,,
LV 3 뉴비_9ad5d75a4f66,,,,,,,,,0.0,,,
LV 3 뉴비_9f552dec,,0.0,,,,,,,,,,
LV 3 뉴비_a2740ef3,,,,,,,0.0,,,,,
LV 3 뉴비_a95580c1f41e,,,,-1.0,,,,,,,,
LV 3 뉴비_aa3d1cb0,,,,,,,,,,,0.0,
LV 3 뉴비_b55b5fdc,,,,,,0.0,,,,,,
LV 3 뉴비_b619dc1ad893,,,,,,,,0.0,,,,
LV 3 뉴비_b6cb34c2452d,,,,,,,0.0,,,,,
LV 3 뉴비_b8d0a092db68,,,,,,,,,0.0,,,
LV 3 뉴비_bd44b98b9337,,,,,,,,,0.0,,,
LV 3 뉴비_c311ac5c0deb,,,,,,,0.0,,,,,
LV 3 뉴비_c5b636ba,,,,,,,0.0,,,,,
LV 3 뉴비_c650cc1cebcd,0.0,,,,,,,,,,,
LV 3 뉴비_cea14c6b,,,,,,0.0,,,,,,
LV 3 뉴비_d0be4dc1,,,,,,,0.0,,,,,
LV 3 뉴비_d3af97e20049,,,0.0,,,,,,,,,
LV 3 뉴비_d45f0414,,,0.0,,,,,,,,,
LV 3 뉴비_d59cf901,,,,-1.0,,,,,,,,
LV 3 뉴비_d86601a8e5d6,,,,,,,-1.0,,,,,
LV 3 뉴비_d9200d38,,,,,,,,,0.0,,,
LV 3 뉴비_dbd939ba,,,,,,0.0,,,,,,
LV 3 뉴비_e4ca6d79,,,,,0.0,,,,,,,
LV 3 뉴비_e78643ca99cd,,,,,,,0.0,,,,,
LV 3 뉴비_ed6471cbbfae,,,,,,0.0,,,,,,
LV 3 뉴비_ee8453eaa0da,,,,,,0.0,,,,,,
LV 3 뉴비_f0ccac79,,,,,0.0,,,,,,,
LV 3 뉴비_f4262bf5de4c,,,,,1.0,,,,,,,
LV 3 뉴비_fe6f3763ed8f,,,0.0,,,,,,,,,
LV 3 뉴비_ff4deb09,,,,,,,,,0.0,,,
LV 3 뉴비스트777,,,,,,,,,0.0,,,
LV 3 늙고지친 작생 헌내기,,,,,1.0,,,,,,,
LV 3 늭네밈,,,,,,,,,0.0,,,
LV 3 단발좌,,,,,,-1.0,,,,,,
LV 3 달콤한인생1984,,,,,,,,,0.0,,,
LV 3 도밍고야,,,,,,,1.0,,,,,
LV 3 돌고래 조련사,,,,,,,,,0.0,,,
LV 3 두루치기김말자,,,,,,0.0,,,,,,
LV 3 드가즈아,,,,,0.0,,,,,,,
LV 3 들장미소,,,,,0.0,,,,,,,
LV 3 디피케,,,,,0.0,0.0,,,,,,
LV 3 딱딱한 성현,,,,,,,,,0.0,,,
LV 3 또기의옷장,,,,,,,,,1.0,,,
LV 3 똥빱치,,,,,,,,0.0,,,,
LV 3 렝비이,,,,,,,0.0,,,,,
LV 3 로버트스미스,,,0.0,,,,,,,,,
LV 3 루키_63bbcaf19e01,,,,0.0,,,,,,,,
LV 3 루키_cb1d9e35d11b,,,,,0.0,,,,,,,
LV 3 류유영준,,,,,,,0.0,,,,,
LV 3 마마마마마마,,,,,,,0.0,,,,,
LV 3 만두6,,,0.0,,,,,,,,,
LV 3 맥반석남자,,,,,,,,0.0,,,,
LV 3 멈출수없는충동구매,,,,,0.0,,,,,,,
LV 3 멤버_4b7d61b2a53a,,,,,,0.0,,,,,,
LV 3 멤버_6342605a489f,,,,,,,0.0,,,,,
LV 3 멤버_6a9a09ba1d8d,,,,,,,0.0,,,,,
LV 3 멤버_914317439bb0,,,,,,,0.0,,,,,
LV 3 멤버_e6db70bac0ff,,,,,,,,,,0.0,,
LV 3 몽멍이오,,,,,,,,0.0,,,,
LV 3 무닮은신사,,,,,,,0.0,,,,,
LV 3 뮤시뮤시해요,,,,,,,0.0,,,,,
LV 3 밀킹스,,,,,,,,,,,0.0,
LV 3 박상우입니다앙,,,,,,,,,-1.0,,,
LV 3 백트로,,,,0.0,,,,,,,,
LV 3 베커엄,,,,,,,0.0,,,,,
LV 3 별 우진사랑,,,,,,,0.0,,,,,
LV 3 본능저그로,,,,,0.0,,,,,,,
LV 3 뵈리우스,,,,,,,0.0,,,,,
LV 3 뿡왕뿡왕,,,,,,,,0.0,,,,
LV 3 사강훈,,,,,,,,0.0,,,,
LV 3 상근병,,,,,,,0.0,,,,,
LV 3 새벽뉴비,,,0.0,,,,,,,,,
LV 3 서스타7,,,,,,,,0.0,,,,
LV 3 선호입니다,,,,,,,0.0,,,,,
LV 3 실버스타12,,,,,,,,0.0,,,,
LV 3 쏘이커너필,,,,0.0,,,,,,,,
LV 3 아기동자김인직,,,,,,,,,0.0,,,
LV 3 아라아ㅏ랓,,0.0,,,,,,,,,,
LV 3 아랑이집사,,,,0.0,,,,,,,,
LV 3 아이스콜라,,,,,0.0,,,,,,,
LV 3 어쩌다 스물다섯,,,,,0.0,,,,,,,
LV 3 얶빵은쌍방,,,0.0,,,,,,,,,
LV 3 영재입니다.,,,,,,,0.0,,,,,
LV 3 영현이의 쇼핑목록,,,,,,0.0,,,,,,
LV 3 예스맨01,,,0.0,,,,,,,,,
LV 3 오종근이여,,,0.0,,,,,,,,,
LV 3 옷잘입고싶은김동우,,,0.0,,,,,,,,,
LV 3 와우요우오,,,,,,0.0,,,,,,
LV 3 요녀석1,,,,,,,,0.0,,,,
LV 3 용산동쌍가락지,,,,0.0,,,,,,,,
LV 3 웅이랑,,,0.0,,,,,,,,,
LV 3 육만이전자,,,,,,,,,0.0,,,
