리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
기본 흰티로 아주 좋아요  두께가 적당해서 비침이 없어요,여성, 162cm, 56kg,보통이에요,밝아요,보통이에요,보통이에요
면이 확실히 탄탄해서 질 좋은 느낌이에요사이즈는 확실히 넉넉해서 체형 가려줍니다,남성, 171cm, 70kg,커요,보통이에요,보통이에요,보통이에요
가성비로 굿굿    전투용으로 잘 입고있어요    강추강추요,남성, 180cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요
가격 완전 저렴하게 사서 뭐 퀄리티 이런 거 상관이 없어요,남성, 184cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
무지티 중에 핏이든 원단이든 가격이든 최고입니다,남성, 169cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
그냥 막입고 다니고 있습니다편하게 잘입고 있어요 ,남성, 176cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
생각보다 너무 내려와서 넣어입어야 좋을거같아요   나머진 굿,남성, 170cm, 68kg,커요,보통이에요,보통이에요,보통이에요
여름 필수템으로 막입기 정말 좋습니다 한 장 사고 바로 재구입했습니다,남성, 171cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
톤다운 핑크라 무난하고 막 늘어나는 소재 아니라 괜찮네요  ,남성, 176cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
핏도 괜찮고 편해서 요즘 이거만 입고 다녀요 추천합니다,남성, 170cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
핏감과 색감 모두 맘에 듭니다 가성비 차고 넘치는 티셔츠네요 다른색상으로 더 구매해야겠어요 ,남성, 174cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
175 73수축 심하진 않고 사이즈 1업만 해도 좋네요조금은 두꺼운듯한 소재에 캐쥬얼한 립이 장점,남성, 175cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
남방하고 같이 입고 오버핏으로 입기에 넘 좋네요,남성, 182cm, 85kg,보통이에요,보통이에요,선명해요,보통이에요
광고 보다가 무배에 저렴하기까지 해서 샀는데재질 두툼하고 오버핏으로 딱 좋네요 이제 좀 선선해지려 하는데 긴팔까진 좀 더울 것 같을 때 아주 좋을 것 같습니다 ,남성, 182cm, 71kg,커요,보통이에요,선명해요,두꺼워요
175 73수축 심하진 않고 사이즈 1업만 해도 좋네요조금은 두꺼운듯한 소재에 캐쥬얼한 립이 장점,남성, 175cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
