리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
레깅스에 입으려고 큰 사이즈 샀는데 생각보다 오버핏 느낌은 안나는것같아요  그래도 티 이쁨,여성, 166cm, 53kg,보통이에요,보통이에요,보통이에요,보통이에요
무지로 하나 사봤는데 스타일 하기도 좋고 이뻐요,남성, 185cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
진짜 너무좋은 아이템입니다 남자분들 꼭 사서 입으세요  ,남성, 172cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
핏은 적당한거같고 살짝오버핏으로 이쁘지만 팔이 조금깁니다,남성, 170cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
몸이 마른편이라 여름에도 긴팔을 선호하는데 재질이 좋아서 그리 덥지도 않구 어깨가 넓어보이는 핏이라 좋네요   넣입해도 자연스러운 길이에요   ,남성, 180cm, 58kg,보통이에요,밝아요,선명해요,보통이에요
사이즈가 정사이즈라 이쁘고 자주 입을거 같아요 ,남성, 175cm, 70kg,보통이에요,밝아요,선명해요,보통이에요
제 체형에 맞는 옷 찾기 힘든데 3  까지 있어서 정말 좋았어요  옷도 이뻐서 만족스러워요,남성, 186cm, 78kg,작아요,보통이에요,선명해요,보통이에요
무난하게 입기 좋은 제품 같아요   가을이나 겨울시즌때는 안에 레이어드 해서 입기 좋을거 같습니다 ,남성, 170cm, 55kg,보통이에요,어두워요,선명해요,보통이에요
앞에 삿던 같은 제품보다 살짝 두께감이 두꺼워진듯핏은 똑같고 편하네요,남성, 170cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
적당히 두껍고 초가을에 기본템으로 입기 좋은 거 같아요,남성, 174cm, 63kg,보통이에요,어두워요,선명해요,보통이에요
175 73수축 감안해서 2업 했고사이즈 만족합니다,남성, 175cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
처직입니다왜사는지알겠어요대박입니다와우굿,남성, 173cm, 55kg,보통이에요,보통이에요,보통이에요,보통이에요
좋습니다  그냥 좋아요 꼭 사세요 무조건 추천 드립니다,남성, 181cm, 82kg,보통이에요,보통이에요,선명해요,보통이에요
깔끔하고 가성비 갑 역시 무탠다드 사랑합니다 굿,남성, 174cm, 63kg,보통이에요,보통이에요,선명해요,얇아요
저렴한가격에 구매했어요 반바지랑 입으면 딱일것같아요,남성, 180cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
무탠다드는 항상 기본값 이상은 해서 믿고 샀어요 역시 마음에 들어요   ,남성, 177cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
역시 무탠다드 핏이고 뭐고 너무 완벽하고 이 가격에 퀄리티 말이 안돼요,남성, 172cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
완전 좋아요   기본템으론 이보다 완벽할 수 없음   흥해라,남성, 178cm, 74kg,보통이에요,보통이에요,보통이에요,보통이에요
목부분이 잘 안늘어나서 좋아요 앞으로도 자주 애용할거 같아요,남성, 174cm, 56kg,보통이에요,보통이에요,보통이에요,보통이에요
무탠다드 무탠다드 하는 이유가 있군여   어깨 넓어보일 줄 알았는데 전혀   그저 예ㅃ븜,여성, 165cm, 52kg,보통이에요,보통이에요,보통이에요,보통이에요
두께는 보통이에요 여름에는 더워서 못입고 봄 가을에 싱글로 입어도 좋을듯 ㅎㅎ 핏은 스탠다드 합니다 평소 입으시는 사이즈로 하세요ㅎㅎ 크게 입으실분은 사이즈업 하세요 ,남성, 180cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
역시 무탠다드는 가성비가 엄청 좋아요    모두들 한 개씩은 가지고 있어야 됩니다   ,남성, 180cm, 73kg,보통이에요,보통이에요,선명해요,보통이에요
2개에 1 8인데 이정도면 겨울에 이너로도 좋고 단품으로도 탄탄해요,남성, 184cm, 86kg,보통이에요,보통이에요,선명해요,보통이에요
