리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
다른 옷들이랑 함께 입기 좋아요 무난하게 살만함,남성, 177cm, 77kg,보통이에요,보통이에요,보통이에요,보통이에요
소재가 일반 면티느낌이 아니고 두께가 좀 있어서 여름엔 절대 불가할것같습니다 저는 넥보고 구매한건데 구입시 참고하세요 ,남성, 181cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
못보고 구매했는데 여름엔 못입을 두께입니다 이 색상 군대내복이 떠오르는   구매시 주의하세요 ,남성, 181cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
옷이 태가 이쁘고 멋이 납니다  색깔이 어둡지 않은 카키에요 ,남성, 178cm, 69kg,보통이에요,보통이에요,보통이에요,보통이에요
일반 크루넥 셔츠에 비해선 두께감이 좀 더 느껴지구요  그만큼 따뜻하겟죠 ㅋㅋ몬가 쫀쫀한 느낌과 따뜻한 느낌이 있어요,남성, 184cm, 76kg,보통이에요,밝아요,선명해요,두꺼워요
생각보다 크지만 질이 좋고 가성비 적당한거 같아요,남성, 173cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
튼튼하고 두께가 두껍지 않아서 여름에도 입기 좋아요 ,남성, 177cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
싸게잘구매했습니다 추천해요 봄가을겨울에 입을게요,남성, 175cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
가성비 좋은 무텐다드 폰테 긴팔티입니다  사이즈도 적당히 오버핏이고 그냥 깔끔하네요  개인적으로 넥라인이 미니멀하고 가장 마음에 드는 디자인입니다 ,남성, 183cm, 74kg,보통이에요,보통이에요,선명해요,보통이에요
가성비 좋고 이쁘네요 색감은 폰테 반팔보다 아이보리 한방울 더 들어간 색감입니다  블랙 긴팔보다 살짝 작다고 느껴지네요,남성, 183cm, 74kg,작아요,보통이에요,보통이에요,보통이에요
기본티는 진짜 무탠다드만입고 다녀요  색별로 다사야할듯하네요ㅎㅎ,남성, 177cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
기본템으로 가지고 있으면 좋음  다만 목부분이 좀 불편,남성, 180cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요
기본템으로 좋으나 목부분이 입고있을 때 좀 불편함,남성, 180cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요
화이트 구매후 세일기간 블랙 하나더 장만했습니다 넥라인이 얇아서 블레이져나 이너용으로 좋을것같아요 ,남성, 175cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
상의를 머슬핏으로 입는 분들은 제 스팩에  추천 널널허게 입는분들은 무조건  이상 옷이 튼튼하고 좋습니다 ,남성, 177cm, 80kg,보통이에요,보통이에요,보통이에요,두꺼워요
옷 적당히 잘 맞았고 옷 자체가 엄청 쫀쫀하고 이뻐서 자켓이랑 같이 입기 좋습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 잘 맞고 이뻐요 감사합니다 자주 입을 거 같아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
꼭 하나씩은 있어야하는 티  대만족   예쁜 오버로 잘 입을 수 있습니답    ,NaN,NaN,NaN,커요,보통이에요,선명해요,보통이에요
원단이좋아서 부드러워 착용감이너무좋아요 넥부분 너무맘에드네요,NaN,NaN,NaN,보통이에요,밝아요,보통이에요,보통이에요
핏도 좋고 가격도 좋아서 데일리로 막 입기 좋아요 추천합니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
핏도 좋고 가격도 좋아서 데일리로 막 입기 좋아요 추천합니다,남성, 178cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
약간 두께감이있어서 가을철부터 착용하면 좋아보입니다,남성, 169cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
약간 두께감이있어서 가을철부터 착용하면 좋아보입니다,남성, 169cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
