리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
네이비가 최애컬러인데 블랙보단 네이비인거같아요 사이즈는 적당합니다,남성, 187cm, 86kg,보통이에요,보통이에요,보통이에요,보통이에요
기본템 이지만 저처럼 어두운 피부색 가지시면 네이비 가시는게 나을거같아요,남성, 187cm, 86kg,보통이에요,보통이에요,보통이에요,보통이에요
카키가 젤 이쁜거같아요 네이비 블랙도 샀는데 카키짱,남성, 187cm, 86kg,보통이에요,보통이에요,보통이에요,보통이에요
왠지 모르게 어깡 같아 보이는 느낌이 들지만   옷 자체는 무난하고 맘에 듭니당,여성, 164cm, 55kg,보통이에요,보통이에요,보통이에요,보통이에요
크지도 작지도 않는 딱 정사이즈입니다가격대비 만족하구요,남성, 171cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
기본 맨투맨티가 필요했는데 색감 재질 모두 탁월합니다 ㅎㅎ,남성, 178cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
에쉬드그린 색상 이쁘고 너무튀지 않아 무난하게 잘 입을수 있을것 같아요 ,남성, 169cm, 82kg,보통이에요,밝아요,선명해요,보통이에요
잘입고있고 안에 레이어드티를 입읏ㄹ분은 한사이즈 작게 입읏는걸 추천합니당,남성, 168cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
원래   주로 입는데 무신사옷은  가 맞을 때가 많네요  디자인 무난합니다 ,남성, 168cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
스웨트 셔츠 자주 입는 스타일이라 무난한 색상으로 구매했습니다  컬러도 차분하고 디자인도 베이직해서 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
두께감이 별로 안두꺼워서 적당하고 핏은 딱 레귤러 핏이에요,남성, 175cm, 85kg,보통이에요,보통이에요,보통이에요,보통이에요
무난하고 깔끔하게 데일리로 입기좋은 무지티 입니다,남성, 175cm, 85kg,보통이에요,보통이에요,보통이에요,보통이에요
생각보다 두께감은 얇았고 핏감은 덜 루즈하네요  릴렉스핏과 정핏의 중간정도 인듯 ,남성, 169cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
사이즈 적당하고 재질도 괜찮은것같아요 만족해요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
평범해서 무난하게 입기에 정말 좋은 것 같습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
평범해서 무난하게 입기에 정말 좋은 것 같습니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
편하게 입기 너무 좋구요  다양한 코디 할 수 있네요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
오버하지 않은 맨투맨이라 이너로 입기 좋습니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
기본 맨투맨으로 잘 입을 수 있을 것 같습니다 좋아요 ,NaN,NaN,NaN,보통이에요,어두워요,보통이에요,보통이에요
조금 일찍 주문할걸 그랬어요 지금 입기에는 조금 덥네요 봄 가을에 좋아요,NaN,NaN,NaN,보통이에요,어두워요,선명해요,보통이에요
옷도 깔끔하고 편하게 입기 좋아요 팔이 쫌 불편하긴 한데 그거 말고는 다 좋아요,남성, 166cm, 50kg,보통이에요,보통이에요,보통이에요,보통이에요
조금 오버핏으로 입고싶었는데 딱맞아요 아숩 일할때 입는거라 그냥입어용,남성, 160cm, 53kg,작아요,보통이에요,보통이에요,보통이에요
보통 바지는  입는데 사이즈가 없어서  으로 주문했는데도 잘 맞네요  상의는 2  로 했는데 어깨가 있는 편인데도 잘 맞아요 ,남성, 176cm, 78kg,보통이에요,보통이에요,선명해요,보통이에요
그냥 앞에 마실룩으로 입을려고 샀습니다  두께가 없지않아 있어서 한여름에 입기엔 힘들고  반바지하고 입되 저녁에 입을려고 합니다  무탠답게 사이즈는 정사이즈가 최고네요,남성, 190cm, 78kg,보통이에요,밝아요,선명해요,보통이에요
여름에도 입을 만한 두께감이라 좋습니다 ㅎㅎ 무탠다드 짱,남성, 170cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
평소에 가볍게 입기 좋아요  재질 좋고 핏도 마음에 들어요  ,남성, 180cm, 77kg,보통이에요,보통이에요,보통이에요,보통이에요
바지랑 같이 셋업으로 구매했는데 단품으로 입기에도 좋고 셋업으로 같이 입기에도 너무 좋습니다  어깨라인도 좋고 사이즈도 아주 잘 맞네요,NaN,NaN,NaN,보통이에요,보통이에요,선명해요,보통이에요
위 아래 셋업으로 샀는데 여름에 입어도 덥지 않고 밤애 입으면 딱 적당하게 입을 수 있다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
여름에 입기 좋아요 소재느낌도 좋고괜찮은거 같아요,NaN,NaN,NaN,커요,보통이에요,보통이에요,보통이에요
기본 아이템인만큼 딱 기본만 한다는걸 알아두면 됩니다  컬러감은 진짜 예뻐요  완전 파랑이 아니라 살짝 어두운 파랑이고  원단감에 힘은 별로 없는 것 같아요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
스웨트셔츠 처음 사봤는데 만족합니다ㅎㅎ 추천드려요,남성, 171cm, 67kg,보통이에요,어두워요,보통이에요,보통이에요
주름이 잘 생기네요 아무래도 얇아서 그런듯해여 가격대비는 좋아요,남성, 180cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
180 73기준 잘 맞아요 가격대비 괜찮아요 잘 입을게요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
여름 빼고 나머지계절에 이너로 입기 좋습니다  기본템이에요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
할인기간에 저렴하게 산거 같아요 출근복으로 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
