user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval,cm,총장,어깨너비,가슴단면,소매길이
LV 5 남7,남성, 170cm, 63kg,950g solid hoody-racing green-,M,5.0,제품 생각 보다 너무 좋고 마음에 들었어요. 사이즈도 오버핏이라 이뻐요! ,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 3 corton,남성, 178cm, 76kg,950g solid hoody-deep black-,L,5.0, 소버먼트 처음 구매해봤는데 역시 명성이 자자한 이유가 있었네요. 탄탄하고 퀄리티 좋아요. 생각보다 사이즈가 낙낙하지만 마음에 들어요. ,보통이에요,어두워요,선명해요,보통이에요,L,72,64,64,59
LV 5 J하람,남성, 168cm, 63kg,950g solid hoody-racing green-,M,5.0,원하던 핏에 원단도 두툼해서 한겨울에도 입을 수 있을거 같아요,보통이에요,밝아요,선명해요,보통이에요,M,70,62.5,62,58
LV 3 루키_2cac827672e1,남성, 170cm, 67kg,950g solid hoody-deep black-,M,5.0,후드티 오버핏이고 너무 따뜻하고 겨울에 입기 좋아요.,보통이에요,보통이에요,보통이에요,두꺼워요,M,70,62.5,62,58
LV 4 Cops_p,남성, 177cm, 72kg,950g solid hoody-8%gray-,L,5.0,이뻐요 이너로 입기 딱이네요 ㅎㅎ178 68 기준 L딱 좋아요!,보통이에요,보통이에요,보통이에요,두꺼워요,L,72,64,64,59
LV 5 올리브통조림,남성, 179cm, 84kg,950g solid hoody-racing green-,XL,5.0,색이 선명한 초록 빛이라 흔하지도 않고 오버핏이라 편해요,커요,밝아요,선명해요,보통이에요,XL,74,65.5,66,60
LV 5 호야늬,남성, 180cm, 65kg,950g solid hoody-racing green-,L,5.0,스타일 아주 좋구요 핏감이 너무 이쁘네요!! 초록색도 진짜 이쁜 초록색입니다,보통이에요,보통이에요,보통이에요,보통이에요,L,72,64,64,59
LV 5 종man,남성, 180cm, 100kg,950g solid hoody-racing green-,XL,5.0,아주 좋아요 두껍고 각고 잘잡히고 배송만 빠르면 좋겠어요,보통이에요,밝아요,선명해요,두꺼워요,XL,74,65.5,66,60
LV 4 꾸꾸까까꾸까끄꾸,남성, 166cm, 68kg,950g solid hoody-racing green-,M,5.0,생각보다 엄청 무거운데색상이 진해서 엄청 이쁩니다.,보통이에요,보통이에요,보통이에요,두꺼워요,M,70,62.5,62,58
LV 6 4747,남성, 168cm, 66kg,950g solid hoody-deep black-,S,5.0,옷감이 탄탄하고 후드각이 이뻐서 너무 좋습니다,보통이에요,보통이에요,보통이에요,보통이에요,S,68,61,60,57
LV 6 엘가컴퍼니,남성, 174cm, 70kg,950g solid hoody-racing green-,L,5.0,재질이 너무 좋아요 잘늘어나는 재질도 아니고 묵직하니 핏도 잘나오고 대만족입니다,보통이에요,밝아요,선명해요,두꺼워요,L,72,64,64,59
LV 6 녹쑤,남성, 181cm, 74kg,950g solid hoody-deep black-,XL,5.0,2개째인데 두툼해서 각이 잘잡힙니다보통 후드는 오버하게 입어서 1업해서 잘 입고 있네요,보통이에요,보통이에요,보통이에요,보통이에요,XL,74,65.5,66,60
LV 6 BallJ,남성, 169cm, 60kg,950g solid hoody-racing green-,S,5.0,이미 검증된 후드!!최곱니다 제 스펙이신 분들은 한 사이즈 업도 이쁠 것 같아요,보통이에요,보통이에요,보통이에요,보통이에요,S,68,61,60,57
LV 3 kan72502,남성, 163cm, 58kg,950g solid hoody -aura navy-,M,5.0,겉과 안 모두 좋은 좋고  부드럽고 맛있으며 원하는대로 핏감과 색깔도 동일하니 나오네요,보통이에요,보통이에요,보통이에요,보통이에요,M,70,62.5,62,58
LV 5 깡퍠,남성, 170cm, 80kg,950g solid hoody-deep black-,L,5.0,무게감 있고 튼튼한 느낌 기모 없어서 더 좋아요평소 105 세미오버 느낌으로 입으려고 한사이즈 다운했습니다 ,보통이에요,어두워요,선명해요,보통이에요,L,72,64,64,59
